person,99_vote,103_vote,104_vote,105_vote,107_vote,108_vote,name
412826,-1,-1,-1,-1,-1,-1,Rep. Chip Roy [R]
412827,1,1,1,1,1,1,Rep. Sylvia Garcia [D]
412828,1,1,1,1,1,1,Rep. Colin Allred [D]
412830,1,1,1,1,1,1,Rep. Elaine Luria [D]
412832,-1,-1,-1,-1,-1,1,Rep. Ben Cline [R]
412833,1,1,1,-1,1,1,Rep. Abigail Spanberger [D]
412834,1,1,1,-1,1,1,Rep. Jennifer Wexton [D]
412835,1,1,1,-1,1,1,Rep. Kim Schrier [D]
412836,-1,-1,-1,-1,-1,1,Rep. Bryan Steil [R]
412837,-1,-1,-1,-1,-1,1,Rep. Carol Miller [R]
412842,1,1,1,1,1,1,Rep. Jared Golden [D]
412843,-1,-1,-1,-1,-1,1,Rep. Fred Keller [R]
412844,-1,-1,-1,-1,-1,-1,Rep. Dan Bishop [R]
412845,-1,1,-1,-1,-1,1,Rep. Gregory Murphy [R]
456791,-1,-1,-1,-1,-1,1,Rep. Thomas Tiffany [R]
456792,-1,1,-1,-1,-1,1,Rep. Mike Garcia [R]
456793,-1,-1,-1,-1,-1,1,Rep. Chris Jacobs [R]
456799,-1,-1,-1,-1,-1,-1,Rep. Jerry Carl Jr. [R]
456800,-1,-1,-1,-1,-1,1,Rep. Barry Moore [R]
456801,-1,1,1,-1,-1,1,Rep. Jay Obernolte [R]
456802,-1,1,1,-1,-1,1,Rep. Young Kim [R]
456803,-1,-1,-1,-1,-1,1,Rep. Michelle Steel [R]
456804,1,0,1,1,1,1,Rep. Sara Jacobs [D]
456805,-1,0,-1,-1,-1,1,Rep. Lauren Boebert [R]
456806,-1,-1,-1,-1,-1,1,Rep. Katherine “Kat” Cammack [R]
456807,-1,-1,-1,-1,-1,1,Rep. Scott Franklin [R]
456808,-1,-1,-1,-1,-1,1,Rep. Byron Donalds [R]
456809,-1,1,-1,-1,-1,1,Rep. Carlos Gimenez [R]
456810,-1,1,-1,-1,-1,1,Rep. Maria Salazar [R]
456811,1,1,1,1,1,1,Rep. Nikema Williams [D]
456812,1,1,1,1,1,1,Rep. Carolyn Bourdeaux [D]
456813,-1,-1,-1,-1,-1,-1,Rep. Andrew Clyde [R]
456814,-1,-1,-1,-1,-1,0,Rep. Marjorie Greene [R]
456815,1,1,1,1,1,1,Rep. Kaialiʻi Kahele [D]
456816,-1,-1,-1,-1,-1,1,Rep. Ashley Hinson [R]
456817,-1,-1,-1,-1,-1,1,Rep. Mariannette Miller-Meeks [R]
456818,-1,-1,-1,-1,-1,1,Rep. Randy Feenstra [R]
456819,1,1,1,1,1,1,Rep. Marie Newman [D]
456820,-1,-1,-1,-1,-1,-1,Rep. Mary Miller [R]
456821,1,1,1,1,1,1,Rep. Frank Mrvan [D]
456822,-1,-1,-1,-1,-1,1,Rep. Victoria Spartz [R]
456823,-1,-1,-1,-1,-1,-1,Rep. Tracey Mann [R]
456824,-1,-1,-1,-1,-1,1,Rep. Jacob “Jake” LaTurner [R]
456825,1,1,1,1,1,1,Rep. Jake Auchincloss [D]
456826,-1,1,1,-1,-1,1,Rep. Peter Meijer [R]
456827,-1,-1,-1,-1,-1,-1,Rep. Lisa McClain [R]
456828,-1,-1,-1,-1,-1,-1,Rep. Michelle Fischbach [R]
456829,1,-1,1,1,1,1,Rep. Cori Bush [D]
456830,-1,-1,-1,-1,-1,-1,Rep. Matthew Rosendale Sr. [R]
456831,1,1,1,1,1,1,Rep. Deborah Ross [D]
456832,1,1,1,1,1,1,Rep. Kathy Manning [D]
456833,-1,-1,-1,-1,-1,1,Rep. David “Madison” Cawthorn [R]
456834,-1,-1,-1,-1,-1,-1,Rep. Yvette Herrell [R]
456835,1,1,1,1,1,1,Rep. Teresa Leger Fernandez [D]
456836,-1,-1,-1,-1,-1,1,Rep. Andrew Garbarino [R]
456837,-1,-1,-1,-1,-1,1,Rep. Nicole Malliotakis [R]
456838,1,1,1,1,1,1,Rep. Ritchie Torres [D]
456839,1,1,1,1,1,1,Rep. Jamaal Bowman [D]
456840,1,1,1,1,1,1,Rep. Mondaire Jones [D]
