person,name,party,99_vote,103_vote,104_vote,105_vote,107_vote,108_vote,125_vote,22_vote,30_vote,vote_18,vote_36,vote_31,vote_74,vote_120,vote_81,vote_116,vote_118,vote_123,vote_43,vote_64,vote_10,,,,,
412399,Rep. David Schweikert [R],Republican,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
412400,Rep. Eric “Rick” Crawford [R],Republican,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
412402,Rep. Steve Womack [R],Republican,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
412404,Rep. Karen Bass [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,,,,,
412410,Rep. Daniel Webster [R],Republican,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,
412412,Rep. Frederica Wilson [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,
412417,Rep. Austin Scott [R],Republican,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,
412421,Rep. Adam Kinzinger [R],Republican,0,0,0,0,-1,1,1,-1,1,-1,0,1,0,0,-1,-1,1,1,1,0,-1,,,,,
412427,Rep. Larry Bucshon [R],Republican,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
412434,Rep. Andy Harris [R],Republican,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,
412435,Rep. William Keating [D],Democrat,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,,,,,
